Transaction Date,Account Category,Amount,Invoice,Voucher Number,PO Number,Status,Account Number,Legal Entity,Line of Business,Project ID,Supplier
2023-01-11,Opex,4099,4074,712186,PO08489,Closed,613848,NL01,10100,NL01-13,Supplier F
2023-01-31,Opex,1414,8704,381055,PO02408,Closed,664821,NL01,10100,NL01-13,Supplier C
2023-02-03,Opex,2826,3681,304433,PO02408,Closed,646890,NL01,10100,NL01-13,Supplier C
2023-10-07,Opex,3852,7399,178911,PO87456,Closed,667865,NL01,10100,NL01-13,Supplier D
2023-07-05,Opex,1304,4461,272019,PO94310,Closed,668487,NL01,10100,NL01-13,Supplier D
2023-10-27,Opex,5278,5757,658946,PO94310,Closed,620080,NL01,10100,NL01-13,Supplier D
2023-06-06,Opex,1440,6331,208058,PO02408,Closed,687149,NL01,10100,NL01-13,Supplier C
2023-12-18,Opex,4897,0965,679417,PO28441,Closed,680663,NL01,10100,NL01-13,Supplier A
2023-01-05,Opex,1698,2548,775931,PO14646,Closed,667341,NL01,10100,NL01-13,Supplier E
2023-10-24,Opex,3620,3398,678685,PO93061,Closed,691218,NL01,10100,NL01-13,Supplier E
2023-09-22,Opex,4773,5849,616095,PO39780,Closed,658219,NL01,10100,NL01-13,Supplier F
2023-04-18,Opex,5164,9995,884256,PO16101,Closed,607113,NL01,10100,NL01-13,Supplier G
2023-12-11,Opex,2476,0115,576612,PO87456,Closed,615265,NL01,10100,NL01-13,Supplier D
2023-05-07,Opex,2352,7960,147063,PO03921,Closed,651251,NL01,10100,NL01-13,Supplier C
2023-12-29,Opex,4016,0636,206043,PO87456,Closed,690182,NL01,10100,NL01-13,Supplier D
2023-11-25,Opex,4788,7155,162168,PO21261,Closed,643609,NL01,10100,NL01-13,Supplier A
2023-08-29,Opex,3384,5236,238355,PO91977,Closed,626723,NL01,10100,NL01-13,Supplier E
2023-02-09,Opex,1338,2631,075336,PO05448,Closed,661446,NL01,10100,NL01-13,Supplier G
2023-04-13,Opex,3258,5042,611659,PO02408,Closed,649321,NL01,10100,NL01-13,Supplier C
2023-05-18,Opex,1595,1020,964722,PO93061,Closed,632448,NL01,10100,NL01-13,Supplier E
2023-02-19,Opex,2113,5318,247625,PO28979,Closed,619820,NL01,10100,NL01-13,Supplier D
2023-03-22,Opex,1602,2900,277732,PO05340,Closed,603713,NL01,10100,NL01-13,Supplier B
2023-03-09,Opex,2636,3065,411895,PO39780,Closed,609779,NL01,10100,NL01-13,Supplier F
2023-10-12,Opex,1615,0093,149584,PO14646,Closed,618159,NL01,10100,NL01-13,Supplier E
2023-05-28,Opex,4176,8746,409011,PO02408,Closed,641580,NL01,10100,NL01-13,Supplier C
2023-09-08,Opex,5969,5205,740691,PO46778,Closed,682261,NL01,10100,NL01-13,Supplier B
2023-09-09,Opex,3156,1726,107811,PO13316,Closed,680683,NL01,10100,NL01-13,Supplier G
2023-07-09,Opex,5211,2814,560973,PO28384,Closed,645754,NL01,10100,NL01-13,Supplier C
2023-06-07,Opex,4704,6702,562355,PO13316,Closed,641310,NL01,10100,NL01-13,Supplier G
2023-05-21,Opex,5091,6345,377277,PO22564,Closed,627244,NL01,10100,NL01-13,Supplier A
2023-07-27,Opex,3812,7541,695892,PO18341,Closed,602829,NL01,10100,NL01-13,Supplier D
2023-08-28,Opex,5991,2055,490240,PO41560,Closed,672012,NL01,10100,NL01-13,Supplier F
2023-02-14,Opex,5351,0789,826093,PO83901,Closed,694289,NL01,10100,NL01-13,Supplier E
2023-11-21,Opex,3049,5663,249195,PO93061,Closed,694716,NL01,10100,NL01-13,Supplier E
2023-06-05,Opex,3179,8563,392015,PO80257,Closed,625609,NL01,10100,NL01-13,Supplier C
2023-08-23,Opex,5099,4053,834622,PO05340,Closed,625773,NL01,10100,NL01-13,Supplier B
2023-09-16,Opex,2417,6839,346999,PO98131,Closed,635122,NL01,10100,NL01-13,Supplier F
2023-07-22,Opex,4854,9576,209900,PO28979,Closed,641189,NL01,10100,NL01-13,Supplier D
2023-05-03,Opex,2297,0194,349309,PO03921,Closed,623625,NL01,10100,NL01-13,Supplier C
2023-12-14,Opex,1276,6379,495074,PO21879,Closed,645805,NL01,10100,NL01-13,Supplier G
