Transaction Date,Account Category,Amount,Invoice,Voucher Number,PO Number,Status,Account Number,Legal Entity,Line of Business,Project ID,Supplier,Month
2023-02-09,Opex,8334,8841,337482,PO19630,Open,648085,NL02,10100,NL02-08,Supplier D,2
2023-02-09,Opex,3543,3389,230378,PO84327,Open,699755,NL02,10100,NL02-08,Supplier G,2
2023-02-09,Capex,96194,830,785648,PO41560,Closed,181032,NL01,10100,NL01-13,Supplier F,2
2023-02-09,Opex,1338,2631,75336,PO05448,Closed,661446,NL01,10100,NL01-13,Supplier G,2
2023-02-09,Capex,51371,194,197173,PO00903,Open,181032,NL01,10001,NL01-15,Supplier C,2
2023-02-12,Capex,54715,6684,267743,PO43776,Open,165032,NL02,10100,NL02-08,Supplier D,2
2023-02-14,Opex,5351,789,826093,PO83901,Closed,694289,NL01,10100,NL01-13,Supplier E,2
2023-02-15,Opex,12379,3017,194049,PO84327,Open,635836,NL02,10100,NL02-08,Supplier G,2
2023-02-18,Capex,32760,4660,949363,PO11631,Open,165030,NL02,10100,NL02-08,Supplier A,2
2023-02-19,Opex,2113,5318,247625,PO28979,Closed,619820,NL01,10100,NL01-13,Supplier D,2
2023-02-21,Opex,10072,4981,798659,PO61123,Open,662648,NL02,10100,NL02-08,Supplier B,2
2023-02-25,Capex,52759,7772,351203,PO75764,Open,165032,NL02,10100,NL02-08,Supplier C,2
2023-02-27,Opex,3317,3951,93566,PO39628,Open,629673,NL01,10001,NL01-15,Supplier E,2
2023-02-28,Capex,77873,8159,21303,PO94310,Closed,181032,NL01,10100,NL01-13,Supplier D,2
2023-03-04,Opex,8695,5539,605372,PO47108,Open,688956,NL02,10100,NL02-08,Supplier E,3
2023-03-05,Opex,2522,5693,538096,PO25035,Open,672596,NL02,10100,NL02-08,Supplier C,3
2023-03-06,Opex,14187,8466,653785,PO74076,Open,632832,NL02,10100,NL02-08,Supplier C,3
2023-03-06,Capex,44728,8057,136337,PO70741,Open,165032,NL02,10100,NL02-08,Supplier B,3
2023-03-07,Capex,87167,3135,334607,PO22800,Open,181032,NL01,10001,NL01-15,Supplier B,3
2023-03-08,Opex,14345,4315,946753,PO93961,Open,698097,NL02,10100,NL02-08,Supplier B,3
2023-03-09,Opex,2636,3065,411895,PO39780,Closed,609779,NL01,10100,NL01-13,Supplier F,3
2023-03-12,Opex,1212,8786,838298,PO72603,Open,649594,NL02,10100,NL02-08,Supplier G,3
2023-03-15,Opex,7323,6350,356629,PO65967,Open,638847,NL02,10100,NL02-08,Supplier E,3
2023-03-16,Opex,3026,3109,436834,PO81724,Open,611101,NL02,10100,NL02-08,Supplier F,3
2023-03-18,Opex,11817,1770,644792,PO57584,Open,622797,NL02,10100,NL02-08,Supplier G,3
2023-03-18,Opex,1459,1387,128232,PO41365,Open,662554,NL01,10001,NL01-15,Supplier B,3
2023-03-20,Opex,3431,5731,606903,PO41365,Open,642733,NL01,10001,NL01-15,Supplier B,3
2023-03-20,Capex,89526,4722,787794,PO84327,Open,165030,NL02,10100,NL02-08,Supplier G,3
2023-03-20,Opex,3097,3487,108508,PO47108,Open,631493,NL02,10100,NL02-08,Supplier E,3
2023-03-22,Capex,86889,1931,76988,PO59900,Open,165030,NL02,10100,NL02-08,Supplier F,3
2023-03-22,Opex,1602,2900,277732,PO05340,Closed,603713,NL01,10100,NL01-13,Supplier B,3
2023-03-23,Capex,74910,7684,100185,PO04893,Open,165032,NL02,10100,NL02-08,Supplier G,3
2023-03-24,Opex,17924,5660,793936,PO93961,Open,669814,NL02,10100,NL02-08,Supplier B,3
2023-03-30,Capex,86538,8932,135769,PO29440,Open,165030,NL02,10100,NL02-08,Supplier F,3
2023-04-02,Opex,16638,1624,435674,PO70281,Open,642814,NL02,10100,NL02-08,Supplier B,4
2023-04-06,Capex,45965,6856,55521,PO28979,Closed,181030,NL01,10100,NL01-13,Supplier D,4
2023-04-06,Opex,17938,8730,128817,PO94804,Open,666936,NL02,10100,NL02-08,Supplier C,4
2023-04-07,Capex,68868,5708,614256,PO56722,Open,165032,NL02,10100,NL02-08,Supplier C,4
2023-04-07,Opex,11506,5999,656417,PO70751,Open,627999,NL02,10100,NL02-08,Supplier F,4
2023-04-08,Opex,9163,5446,762497,PO56147,Open,641074,NL02,10100,NL02-08,Supplier B,4
2023-04-08,Opex,16017,9863,640330,PO12134,Open,675795,NL02,10100,NL02-08,Supplier A,4
2023-04-09,Capex,82587,3682,18722,PO08654,Open,165030,NL02,10100,NL02-08,Supplier E,4
2023-04-10,Capex,65763,2453,28205,PO26321,Open,165030,NL02,10100,NL02-08,Supplier F,4
2023-04-11,Capex,48537,2839,715297,PO38088,Open,165032,NL02,10100,NL02-08,Supplier D,4
2023-04-12,Opex,7403,6513,144292,PO61123,Open,677704,NL02,10100,NL02-08,Supplier B,4
2023-04-13,Capex,22434,2407,286326,PO11631,Open,165030,NL02,10100,NL02-08,Supplier A,4
2023-04-13,Opex,3258,5042,611659,PO02408,Closed,649321,NL01,10100,NL01-13,Supplier C,4
2023-04-15,Opex,1266,9330,979801,PO65967,Open,610350,NL02,10100,NL02-08,Supplier E,4
2023-04-16,Capex,35358,1948,7482,PO59900,Open,165030,NL02,10100,NL02-08,Supplier F,4
2023-04-16,Capex,50265,4804,332495,PO61275,Open,181032,NL01,10001,NL01-15,Supplier F,4
2023-04-16,Opex,3013,9053,82653,PO55985,Open,668451,NL02,10100,NL02-08,Supplier G,4
2023-04-17,Capex,33588,552,84245,PO62233,Open,181032,NL01,10001,NL01-15,Supplier E,4
2023-04-18,Opex,3368,1422,158361,PO55985,Open,637069,NL02,10100,NL02-08,Supplier G,4
2023-04-18,Opex,5164,9995,884256,PO16101,Closed,607113,NL01,10100,NL01-13,Supplier G,4
2023-04-23,Capex,66697,918,414420,PO40674,Open,165030,NL02,10100,NL02-08,Supplier E,4
2023-04-23,Capex,44970,6182,271324,PO03921,Closed,181030,NL01,10100,NL01-13,Supplier C,4
2023-04-23,Opex,8644,410,115767,PO93961,Open,606816,NL02,10100,NL02-08,Supplier B,4
2023-04-26,Opex,2910,5190,919252,PO87931,Open,672629,NL01,10001,NL01-15,Supplier D,4
2023-04-28,Opex,7616,7809,899422,PO58584,Open,695149,NL02,10100,NL02-08,Supplier A,4
2023-04-29,Capex,90238,9282,972416,PO93071,Open,165032,NL02,10100,NL02-08,Supplier F,4
2023-05-03,Opex,2297,194,349309,PO03921,Closed,623625,NL01,10100,NL01-13,Supplier C,5
2023-05-05,Capex,80993,2966,675445,PO47209,Open,165032,NL02,10100,NL02-08,Supplier B,5
2023-05-05,Opex,5028,8649,128666,PO99769,Open,681895,NL02,10100,NL02-08,Supplier D,5
2023-05-07,Opex,2352,7960,147063,PO03921,Closed,651251,NL01,10100,NL01-13,Supplier C,5
2023-05-10,Opex,1637,8438,890956,PO87931,Open,655854,NL01,10001,NL01-15,Supplier D,5
2023-05-11,Opex,1455,626,285219,PO04504,Open,602605,NL01,10001,NL01-15,Supplier F,5
2023-05-12,Capex,20313,3340,118589,PO12134,Open,165030,NL02,10100,NL02-08,Supplier A,5
2023-05-12,Opex,2624,9331,801948,PO78751,Open,663988,NL02,10100,NL02-08,Supplier A,5
2023-05-13,Opex,7681,4854,798016,PO40743,Open,675563,NL02,10100,NL02-08,Supplier A,5
2023-05-15,Opex,12438,9333,947409,PO83108,Open,652707,NL02,10100,NL02-08,Supplier E,5
2023-05-18,Opex,1595,1020,964722,PO93061,Closed,632448,NL01,10100,NL01-13,Supplier E,5
2023-05-21,Capex,28107,9045,153670,PO59900,Open,165030,NL02,10100,NL02-08,Supplier F,5
2023-05-21,Opex,5091,6345,377277,PO22564,Closed,627244,NL01,10100,NL01-13,Supplier A,5
2023-05-27,Opex,11600,8329,372040,PO66452,Open,613136,NL02,10100,NL02-08,Supplier D,5
2023-05-28,Opex,4176,8746,409011,PO02408,Closed,641580,NL01,10100,NL01-13,Supplier C,5
2023-05-28,Capex,25574,2139,562869,PO90759,Open,165032,NL02,10100,NL02-08,Supplier E,5
2023-05-28,Opex,15334,3569,719306,PO12063,Open,691165,NL02,10100,NL02-08,Supplier A,5
2023-06-05,Opex,3179,8563,392015,PO80257,Closed,625609,NL01,10100,NL01-13,Supplier C,6
2023-06-06,Opex,1440,6331,208058,PO02408,Closed,687149,NL01,10100,NL01-13,Supplier C,6
2023-06-07,Opex,4704,6702,562355,PO13316,Closed,641310,NL01,10100,NL01-13,Supplier G,6
2023-06-14,Capex,21677,952,582817,PO26321,Open,165030,NL02,10100,NL02-08,Supplier F,6
2023-06-14,Capex,50823,797,622673,PO22564,Closed,181032,NL01,10100,NL01-13,Supplier A,6
2023-06-15,Opex,11705,9583,407600,PO84424,Open,644742,NL02,10100,NL02-08,Supplier A,6
2023-06-15,Opex,16908,8520,775627,PO73506,Open,678072,NL02,10100,NL02-08,Supplier B,6
2023-06-16,Opex,4425,946,542275,PO25035,Open,655600,NL02,10100,NL02-08,Supplier C,6
2023-06-17,Opex,8850,9958,191724,PO19630,Open,685695,NL02,10100,NL02-08,Supplier D,6
2023-06-20,Opex,2387,9324,142049,PO08654,Open,619730,NL02,10100,NL02-08,Supplier E,6
2023-06-21,Opex,2436,9650,422659,PO20161,Open,627228,NL02,10100,NL02-08,Supplier C,6
2023-06-21,Opex,2868,1901,241898,PO31338,Open,679568,NL01,10001,NL01-15,Supplier C,6
2023-06-22,Capex,95228,7325,437892,PO12134,Open,165030,NL02,10100,NL02-08,Supplier A,6
2023-06-27,Capex,52644,5927,297075,PO74076,Open,165030,NL02,10100,NL02-08,Supplier C,6
2023-06-28,Capex,45068,2525,78647,PO46778,Closed,181030,NL01,10100,NL01-13,Supplier B,6
2023-06-29,Opex,2291,1421,389103,PO73506,Open,673891,NL02,10100,NL02-08,Supplier B,6
2023-06-30,Opex,2937,362,766886,PO90759,Open,684272,NL02,10100,NL02-08,Supplier E,6
2023-07-01,Opex,16810,5206,226512,PO53721,Open,681814,NL02,10100,NL02-08,Supplier E,7
2023-07-05,Opex,1304,4461,272019,PO94310,Closed,668487,NL01,10100,NL01-13,Supplier D,7
2023-07-05,Opex,10942,2678,959366,PO78751,Open,629885,NL02,10100,NL02-08,Supplier A,7
2023-07-05,Opex,9384,347,145828,PO42295,Open,653341,NL02,10100,NL02-08,Supplier B,7
2023-07-06,Opex,13980,9641,703355,PO25035,Open,655228,NL02,10100,NL02-08,Supplier C,7
2023-07-07,Opex,2323,3367,384643,PO00903,Open,693243,NL01,10001,NL01-15,Supplier C,7
2023-07-07,Capex,84472,2442,495215,PO25213,Closed,181032,NL01,10100,NL01-13,Supplier A,7
2023-07-07,Capex,31816,3179,628251,PO74076,Open,165030,NL02,10100,NL02-08,Supplier C,7
2023-07-09,Opex,13272,6959,331915,PO11631,Open,628077,NL02,10100,NL02-08,Supplier A,7
2023-07-09,Opex,10392,3181,444635,PO47209,Open,624636,NL02,10100,NL02-08,Supplier B,7
2023-07-09,Opex,3194,8217,66110,PO40343,Open,631976,NL01,10001,NL01-15,Supplier A,7
2023-07-09,Opex,5211,2814,560973,PO28384,Closed,645754,NL01,10100,NL01-13,Supplier C,7
2023-07-10,Opex,1264,7777,253793,PO65967,Open,647801,NL02,10100,NL02-08,Supplier E,7
2023-07-11,Capex,48852,114,545703,PO08654,Open,165032,NL02,10100,NL02-08,Supplier E,7
2023-07-12,Opex,1283,5790,412027,PO83476,Closed,617800,NL01,10100,NL01-13,Supplier B,7
2023-07-13,Capex,99018,6311,807620,PO74076,Open,165032,NL02,10100,NL02-08,Supplier C,7
2023-07-14,Capex,46774,287,724324,PO58584,Open,165032,NL02,10100,NL02-08,Supplier A,7
2023-07-15,Opex,1471,179,32557,PO51586,Open,674433,NL01,10001,NL01-15,Supplier D,7
2023-07-17,Capex,89367,4186,480467,PO08489,Closed,181030,NL01,10100,NL01-13,Supplier F,7
2023-07-18,Opex,12537,4864,917591,PO72267,Open,630461,NL02,10100,NL02-08,Supplier A,7
2023-07-19,Opex,3255,5473,531725,PO96365,Open,604992,NL01,10001,NL01-15,Supplier A,7
2023-07-22,Opex,4854,9576,209900,PO28979,Closed,641189,NL01,10100,NL01-13,Supplier D,7
2023-07-22,Capex,72076,4034,867515,PO11971,Open,165030,NL02,10100,NL02-08,Supplier G,7
2023-07-24,Opex,5268,6235,553695,PO98820,Open,630490,NL02,10100,NL02-08,Supplier C,7
2023-07-24,Opex,2345,7633,703489,PO51586,Open,670123,NL01,10001,NL01-15,Supplier D,7
2023-07-27,Opex,3812,7541,695892,PO18341,Closed,602829,NL01,10100,NL01-13,Supplier D,7
2023-07-28,Opex,7594,8956,466705,PO99769,Open,611958,NL02,10100,NL02-08,Supplier D,7
2023-07-28,Capex,98367,7796,112945,PO66452,Open,165030,NL02,10100,NL02-08,Supplier D,7
2023-07-30,Opex,3334,4794,287890,PO99769,Open,634808,NL02,10100,NL02-08,Supplier D,7
2023-08-01,Opex,15174,4317,377007,PO27112,Open,688365,NL02,10100,NL02-08,Supplier D,8
2023-08-03,Opex,16639,306,665315,PO08654,Open,675039,NL02,10100,NL02-08,Supplier E,8
2023-08-06,Capex,20237,7686,851870,PO56722,Open,165032,NL02,10100,NL02-08,Supplier C,8
2023-08-06,Opex,14588,8917,292291,PO72267,Open,639222,NL02,10100,NL02-08,Supplier A,8
2023-08-12,Opex,2692,7477,94604,PO83476,Closed,675369,NL01,10100,NL01-13,Supplier B,8
2023-08-12,Opex,1488,5120,468299,PO39619,Open,666889,NL02,10100,NL02-08,Supplier F,8
2023-08-19,Opex,12497,9320,998454,PO94804,Open,681973,NL02,10100,NL02-08,Supplier C,8
2023-08-20,Opex,1400,1310,352796,PO40343,Open,640418,NL01,10001,NL01-15,Supplier A,8
2023-08-22,Opex,1397,4545,946727,PO52690,Open,637185,NL02,10100,NL02-08,Supplier D,8
2023-08-23,Opex,5099,4053,834622,PO05340,Closed,625773,NL01,10100,NL01-13,Supplier B,8
2023-08-23,Opex,9293,256,858508,PO40743,Open,607850,NL02,10100,NL02-08,Supplier A,8
2023-08-24,Opex,1857,8060,851962,PO56147,Open,634000,NL02,10100,NL02-08,Supplier B,8
2023-08-26,Opex,2179,3748,404890,PO31338,Open,621982,NL01,10001,NL01-15,Supplier C,8
2023-08-28,Opex,5991,2055,490240,PO41560,Closed,672012,NL01,10100,NL01-13,Supplier F,8
2023-08-29,Opex,3384,5236,238355,PO91977,Closed,626723,NL01,10100,NL01-13,Supplier E,8
2023-08-31,Opex,1706,3105,355154,PO93740,Open,611039,NL02,10100,NL02-08,Supplier G,8
2023-09-01,Opex,2603,3634,106816,PO39628,Open,686819,NL01,10001,NL01-15,Supplier E,9
2023-09-02,Opex,17358,6241,266069,PO65967,Open,636414,NL02,10100,NL02-08,Supplier E,9
2023-09-02,Capex,29125,6695,407287,PO40343,Open,181032,NL01,10001,NL01-15,Supplier A,9
2023-09-05,Opex,12838,3805,368994,PO81724,Open,640542,NL02,10100,NL02-08,Supplier F,9
2023-09-06,Opex,8878,9735,707563,PO28764,Open,650282,NL02,10100,NL02-08,Supplier F,9
2023-09-08,Capex,32371,8950,138376,PO13316,Closed,181030,NL01,10100,NL01-13,Supplier G,9
2023-09-08,Opex,15839,2360,406439,PO02042,Open,642372,NL02,10100,NL02-08,Supplier G,9
2023-09-08,Opex,5969,5205,740691,PO46778,Closed,682261,NL01,10100,NL01-13,Supplier B,9
2023-09-09,Opex,3156,1726,107811,PO13316,Closed,680683,NL01,10100,NL01-13,Supplier G,9
2023-09-15,Capex,22381,4624,671606,PO70751,Open,165030,NL02,10100,NL02-08,Supplier F,9
2023-09-16,Opex,2417,6839,346999,PO98131,Closed,635122,NL01,10100,NL01-13,Supplier F,9
2023-09-17,Opex,13494,2815,62321,PO04893,Open,615154,NL02,10100,NL02-08,Supplier G,9
2023-09-18,Opex,17142,5024,86729,PO20161,Open,614715,NL02,10100,NL02-08,Supplier C,9
2023-09-19,Opex,8746,8221,294139,PO70741,Open,633655,NL02,10100,NL02-08,Supplier B,9
2023-09-20,Opex,14153,5001,377246,PO43000,Open,673615,NL02,10100,NL02-08,Supplier C,9
2023-09-21,Opex,2044,1133,908718,PO19630,Open,678638,NL02,10100,NL02-08,Supplier D,9
2023-09-22,Opex,4773,5849,616095,PO39780,Closed,658219,NL01,10100,NL01-13,Supplier F,9
2023-09-22,Opex,9749,6702,543067,PO27112,Open,624957,NL02,10100,NL02-08,Supplier D,9
2023-09-22,Opex,6450,890,116043,PO84424,Open,637892,NL02,10100,NL02-08,Supplier A,9
2023-09-24,Opex,4694,220,43869,PO52205,Open,606417,NL02,10100,NL02-08,Supplier B,9
2023-09-25,Capex,79594,9613,309725,PO41365,Open,181032,NL01,10001,NL01-15,Supplier B,9
2023-09-25,Opex,16479,8481,519160,PO08654,Open,690921,NL02,10100,NL02-08,Supplier E,9
2023-09-25,Opex,11692,7149,715817,PO29440,Open,605590,NL02,10100,NL02-08,Supplier F,9
2023-09-26,Opex,16774,8911,490454,PO47209,Open,603513,NL02,10100,NL02-08,Supplier B,9
2023-09-26,Capex,94126,4255,800601,PO56986,Open,165030,NL02,10100,NL02-08,Supplier A,9
2023-09-27,Opex,2548,2357,948302,PO41365,Open,650766,NL01,10001,NL01-15,Supplier B,9
2023-09-28,Capex,46691,4866,214894,PO07925,Open,165030,NL02,10100,NL02-08,Supplier D,9
2023-10-01,Opex,3359,1555,503408,PO87931,Open,654642,NL01,10001,NL01-15,Supplier D,10
2023-10-06,Capex,50797,6949,823484,PO93071,Open,165030,NL02,10100,NL02-08,Supplier F,10
2023-10-07,Opex,3852,7399,178911,PO87456,Closed,667865,NL01,10100,NL01-13,Supplier D,10
2023-10-07,Capex,27940,5543,851622,PO38315,Closed,181032,NL01,10100,NL01-13,Supplier B,10
2023-10-09,Capex,40845,7221,841592,PO80257,Closed,181032,NL01,10100,NL01-13,Supplier C,10
2023-10-10,Capex,94434,8470,265615,PO03921,Closed,181032,NL01,10100,NL01-13,Supplier C,10
2023-10-12,Opex,1615,93,149584,PO14646,Closed,618159,NL01,10100,NL01-13,Supplier E,10
2023-10-13,Capex,18117,213,303957,PO65967,Open,165032,NL02,10100,NL02-08,Supplier E,10
2023-10-14,Capex,41019,3453,86604,PO43000,Open,165030,NL02,10100,NL02-08,Supplier C,10
2023-10-15,Capex,52180,8508,720144,PO87931,Open,181030,NL01,10001,NL01-15,Supplier D,10
2023-10-16,Capex,59541,2098,988257,PO14646,Closed,181030,NL01,10100,NL01-13,Supplier E,10
2023-10-21,Opex,6617,4450,33032,PO56986,Open,686087,NL02,10100,NL02-08,Supplier A,10
2023-10-24,Opex,3620,3398,678685,PO93061,Closed,691218,NL01,10100,NL01-13,Supplier E,10
2023-10-27,Capex,62504,8831,365862,PO63242,Open,165032,NL02,10100,NL02-08,Supplier E,10
2023-10-27,Opex,5278,5757,658946,PO94310,Closed,620080,NL01,10100,NL01-13,Supplier D,10
2023-10-29,Capex,18322,4076,959233,PO72267,Open,165032,NL02,10100,NL02-08,Supplier A,10
2023-10-30,Opex,7723,1528,884102,PO07925,Open,671986,NL02,10100,NL02-08,Supplier D,10
2023-11-02,Opex,3840,7295,691216,PO70741,Open,646375,NL02,10100,NL02-08,Supplier B,11
2023-11-07,Capex,57314,5186,931702,PO98820,Open,165030,NL02,10100,NL02-08,Supplier C,11
2023-11-07,Opex,11426,2628,857664,PO81724,Open,630848,NL02,10100,NL02-08,Supplier F,11
2023-11-08,Opex,13054,9846,795035,PO93961,Open,655177,NL02,10100,NL02-08,Supplier B,11
2023-11-13,Capex,51258,5223,947621,PO42070,Open,181032,NL01,10001,NL01-15,Supplier G,11
2023-11-15,Opex,14965,6441,825885,PO38088,Open,660237,NL02,10100,NL02-08,Supplier D,11
2023-11-16,Opex,1753,3469,281503,PO04893,Open,665446,NL02,10100,NL02-08,Supplier G,11
2023-11-16,Capex,33724,8764,941192,PO91977,Closed,181030,NL01,10100,NL01-13,Supplier E,11
2023-11-20,Opex,12836,7750,682773,PO27112,Open,630992,NL02,10100,NL02-08,Supplier D,11
2023-11-21,Opex,3049,5663,249195,PO93061,Closed,694716,NL01,10100,NL01-13,Supplier E,11
2023-11-21,Capex,39121,2868,440365,PO22875,Open,165030,NL02,10100,NL02-08,Supplier G,11
2023-11-22,Capex,36125,2548,271418,PO96365,Open,181030,NL01,10001,NL01-15,Supplier A,11
2023-11-24,Opex,1772,8959,870989,PO56722,Open,663478,NL02,10100,NL02-08,Supplier C,11
2023-11-24,Capex,57344,5835,24282,PO56986,Open,165030,NL02,10100,NL02-08,Supplier A,11
2023-11-24,Capex,92577,8397,709807,PO05448,Closed,181032,NL01,10100,NL01-13,Supplier G,11
2023-11-24,Opex,2978,1942,944885,PO40343,Open,675848,NL01,10001,NL01-15,Supplier A,11
2023-11-25,Opex,4788,7155,162168,PO21261,Closed,643609,NL01,10100,NL01-13,Supplier A,11
2023-11-28,Opex,1549,9289,345930,PO22800,Open,629239,NL01,10001,NL01-15,Supplier B,11
2023-11-28,Opex,5126,5481,113652,PO93961,Open,644933,NL02,10100,NL02-08,Supplier B,11
2023-11-29,Capex,60835,3312,778623,PO73506,Open,165032,NL02,10100,NL02-08,Supplier B,11
2023-11-30,Opex,2644,9507,327786,PO74076,Open,605603,NL02,10100,NL02-08,Supplier C,11
2023-12-02,Opex,4455,7742,311013,PO47108,Open,606677,NL02,10100,NL02-08,Supplier E,12
2023-12-02,Opex,1083,4449,309964,PO41365,Open,629961,NL01,10001,NL01-15,Supplier B,12
2023-12-02,Opex,7026,2693,163189,PO27112,Open,636871,NL02,10100,NL02-08,Supplier D,12
2023-12-05,Opex,5253,7090,209849,PO81724,Open,654447,NL02,10100,NL02-08,Supplier F,12
2023-12-05,Capex,13473,6971,808665,PO28441,Closed,181030,NL01,10100,NL01-13,Supplier A,12
2023-12-07,Opex,6860,6051,434025,PO56722,Open,650286,NL02,10100,NL02-08,Supplier C,12
2023-12-09,Capex,29717,2587,493926,PO42295,Open,165032,NL02,10100,NL02-08,Supplier B,12
2023-12-11,Opex,2476,115,576612,PO87456,Closed,615265,NL01,10100,NL01-13,Supplier D,12
2023-12-11,Opex,4599,1473,930522,PO43000,Open,686368,NL02,10100,NL02-08,Supplier C,12
2023-12-13,Capex,95665,5387,756635,PO08654,Open,165032,NL02,10100,NL02-08,Supplier E,12
2023-12-13,Capex,50140,6781,555317,PO22564,Closed,181030,NL01,10100,NL01-13,Supplier A,12
2023-12-14,Opex,1276,6379,495074,PO21879,Closed,645805,NL01,10100,NL01-13,Supplier G,12
2023-12-16,Opex,1017,2584,457250,PO83108,Open,684882,NL02,10100,NL02-08,Supplier E,12
2023-12-18,Opex,4897,965,679417,PO28441,Closed,680663,NL01,10100,NL01-13,Supplier A,12
2023-12-19,Opex,1323,9606,341517,PO61275,Open,604085,NL01,10001,NL01-15,Supplier F,12
2023-12-25,Capex,71748,9349,949997,PO46778,Closed,181030,NL01,10100,NL01-13,Supplier B,12
2023-12-25,Opex,13434,2054,426356,PO65967,Open,631206,NL02,10100,NL02-08,Supplier E,12
2023-12-25,Capex,92291,1979,86057,PO70281,Open,165032,NL02,10100,NL02-08,Supplier B,12
2023-12-26,Opex,12581,2993,12830,PO88214,Open,660171,NL02,10100,NL02-08,Supplier F,12
2023-12-26,Opex,14724,6674,176471,PO20161,Open,614446,NL02,10100,NL02-08,Supplier C,12
2023-12-27,Capex,47747,2195,942384,PO43776,Open,165030,NL02,10100,NL02-08,Supplier D,12
2023-12-27,Capex,20720,1641,725314,PO93740,Open,165030,NL02,10100,NL02-08,Supplier G,12
2023-12-29,Opex,4016,636,206043,PO87456,Closed,690182,NL01,10100,NL01-13,Supplier D,12
2023-12-30,Opex,1638,224,945155,PO25035,Open,609658,NL02,10100,NL02-08,Supplier C,12
2023-12-31,Capex,90025,4170,466570,PO70281,Open,165032,NL02,10100,NL02-08,Supplier B,12
