Transaction Date,Account Category,Amount,Invoice,Voucher Number,PO Number,Status,Account Number,Legal Entity,Line of Business,Project ID,Supplier
2023-12-31,Capex,90025,4170,466570,PO70281,Open,165032,NL02,10100,NL02-08,Supplier B
2023-06-14,Capex,21677,0952,582817,PO26321,Open,165030,NL02,10100,NL02-08,Supplier F
2023-09-26,Capex,94126,4255,800601,PO56986,Open,165030,NL02,10100,NL02-08,Supplier A
2023-12-13,Capex,95665,5387,756635,PO08654,Open,165032,NL02,10100,NL02-08,Supplier E
2023-03-20,Capex,89526,4722,787794,PO84327,Open,165030,NL02,10100,NL02-08,Supplier G
2023-07-14,Capex,46774,0287,724324,PO58584,Open,165032,NL02,10100,NL02-08,Supplier A
2023-03-06,Capex,44728,8057,136337,PO70741,Open,165032,NL02,10100,NL02-08,Supplier B
2023-10-14,Capex,41019,3453,086604,PO43000,Open,165030,NL02,10100,NL02-08,Supplier C
2023-02-12,Capex,54715,6684,267743,PO43776,Open,165032,NL02,10100,NL02-08,Supplier D
2023-07-28,Capex,98367,7796,112945,PO66452,Open,165030,NL02,10100,NL02-08,Supplier D
2023-01-22,Capex,83137,1176,297669,PO64915,Open,165032,NL02,10100,NL02-08,Supplier D
2023-10-13,Capex,18117,0213,303957,PO65967,Open,165032,NL02,10100,NL02-08,Supplier E
2023-01-02,Capex,95557,0658,177019,PO70751,Open,165030,NL02,10100,NL02-08,Supplier F
2023-07-07,Capex,31816,3179,628251,PO74076,Open,165030,NL02,10100,NL02-08,Supplier C
2023-07-13,Capex,99018,6311,807620,PO74076,Open,165032,NL02,10100,NL02-08,Supplier C
2023-05-21,Capex,28107,9045,153670,PO59900,Open,165030,NL02,10100,NL02-08,Supplier F
2023-11-21,Capex,39121,2868,440365,PO22875,Open,165030,NL02,10100,NL02-08,Supplier G
2023-07-11,Capex,48852,0114,545703,PO08654,Open,165032,NL02,10100,NL02-08,Supplier E
2023-05-12,Capex,20313,3340,118589,PO12134,Open,165030,NL02,10100,NL02-08,Supplier A
2023-05-05,Capex,80993,2966,675445,PO47209,Open,165032,NL02,10100,NL02-08,Supplier B
2023-11-07,Capex,57314,5186,931702,PO98820,Open,165030,NL02,10100,NL02-08,Supplier C
2023-09-28,Capex,46691,4866,214894,PO07925,Open,165030,NL02,10100,NL02-08,Supplier D
2023-04-10,Capex,65763,2453,028205,PO26321,Open,165030,NL02,10100,NL02-08,Supplier F
2023-05-28,Capex,25574,2139,562869,PO90759,Open,165032,NL02,10100,NL02-08,Supplier E
2023-03-22,Capex,86889,1931,076988,PO59900,Open,165030,NL02,10100,NL02-08,Supplier F
2023-01-11,Capex,61162,7010,830471,PO11971,Open,165032,NL02,10100,NL02-08,Supplier G
2023-10-06,Capex,50797,6949,823484,PO93071,Open,165030,NL02,10100,NL02-08,Supplier F
2023-09-15,Capex,22381,4624,671606,PO70751,Open,165030,NL02,10100,NL02-08,Supplier F
2023-12-27,Capex,20720,1641,725314,PO93740,Open,165030,NL02,10100,NL02-08,Supplier G
2023-02-18,Capex,32760,4660,949363,PO11631,Open,165030,NL02,10100,NL02-08,Supplier A
2023-06-22,Capex,95228,7325,437892,PO12134,Open,165030,NL02,10100,NL02-08,Supplier A
2023-04-29,Capex,90238,9282,972416,PO93071,Open,165032,NL02,10100,NL02-08,Supplier F
2023-05-13,Opex,7681,4854,798016,PO40743,Open,675563,NL02,10100,NL02-08,Supplier A
2023-03-24,Opex,17924,5660,793936,PO93961,Open,669814,NL02,10100,NL02-08,Supplier B
2023-11-28,Opex,5126,5481,113652,PO93961,Open,644933,NL02,10100,NL02-08,Supplier B
2023-03-08,Opex,14345,4315,946753,PO93961,Open,698097,NL02,10100,NL02-08,Supplier B
2023-06-15,Opex,16908,8520,775627,PO73506,Open,678072,NL02,10100,NL02-08,Supplier B
2023-04-06,Opex,17938,8730,128817,PO94804,Open,666936,NL02,10100,NL02-08,Supplier C
2023-09-22,Opex,9749,6702,543067,PO27112,Open,624957,NL02,10100,NL02-08,Supplier D
2023-03-20,Opex,3097,3487,108508,PO47108,Open,631493,NL02,10100,NL02-08,Supplier E
2023-11-20,Opex,12836,7750,682773,PO27112,Open,630992,NL02,10100,NL02-08,Supplier D
2023-09-05,Opex,12838,3805,368994,PO81724,Open,640542,NL02,10100,NL02-08,Supplier F
2023-03-18,Opex,11817,1770,644792,PO57584,Open,622797,NL02,10100,NL02-08,Supplier G
2023-09-19,Opex,8746,8221,294139,PO70741,Open,633655,NL02,10100,NL02-08,Supplier B
2023-10-30,Opex,7723,1528,884102,PO07925,Open,671986,NL02,10100,NL02-08,Supplier D
2023-05-12,Opex,2624,9331,801948,PO78751,Open,663988,NL02,10100,NL02-08,Supplier A
2023-08-23,Opex,9293,0256,858508,PO40743,Open,607850,NL02,10100,NL02-08,Supplier A
2023-11-30,Opex,2644,9507,327786,PO74076,Open,605603,NL02,10100,NL02-08,Supplier C
2023-09-24,Opex,4694,0220,043869,PO52205,Open,606417,NL02,10100,NL02-08,Supplier B
2023-02-15,Opex,12379,3017,194049,PO84327,Open,635836,NL02,10100,NL02-08,Supplier G
2023-09-25,Opex,16479,8481,519160,PO08654,Open,690921,NL02,10100,NL02-08,Supplier E
2023-12-30,Opex,1638,0224,945155,PO25035,Open,609658,NL02,10100,NL02-08,Supplier C
2023-11-15,Opex,14965,6441,825885,PO38088,Open,660237,NL02,10100,NL02-08,Supplier D
2023-12-25,Opex,13434,2054,426356,PO65967,Open,631206,NL02,10100,NL02-08,Supplier E
2023-12-05,Opex,5253,7090,209849,PO81724,Open,654447,NL02,10100,NL02-08,Supplier F
2023-02-09,Opex,8334,8841,337482,PO19630,Open,648085,NL02,10100,NL02-08,Supplier D
2023-04-08,Opex,16017,9863,640330,PO12134,Open,675795,NL02,10100,NL02-08,Supplier A
2023-06-17,Opex,8850,9958,191724,PO19630,Open,685695,NL02,10100,NL02-08,Supplier D
2023-07-24,Opex,5268,6235,553695,PO98820,Open,630490,NL02,10100,NL02-08,Supplier C
2023-05-15,Opex,12438,9333,947409,PO83108,Open,652707,NL02,10100,NL02-08,Supplier E
2023-07-09,Opex,10392,3181,444635,PO47209,Open,624636,NL02,10100,NL02-08,Supplier B
2023-03-15,Opex,7323,6350,356629,PO65967,Open,638847,NL02,10100,NL02-08,Supplier E
2023-07-06,Opex,13980,9641,703355,PO25035,Open,655228,NL02,10100,NL02-08,Supplier C
2023-11-07,Opex,11426,2628,857664,PO81724,Open,630848,NL02,10100,NL02-08,Supplier F
2023-07-05,Opex,9384,0347,145828,PO42295,Open,653341,NL02,10100,NL02-08,Supplier B
2023-01-07,Opex,12968,0223,590543,PO70281,Open,689044,NL02,10100,NL02-08,Supplier B
2023-08-31,Opex,1706,3105,355154,PO93740,Open,611039,NL02,10100,NL02-08,Supplier G
2023-09-06,Opex,8878,9735,707563,PO28764,Open,650282,NL02,10100,NL02-08,Supplier F
2023-09-17,Opex,13494,2815,062321,PO04893,Open,615154,NL02,10100,NL02-08,Supplier G
2023-03-12,Opex,1212,8786,838298,PO72603,Open,649594,NL02,10100,NL02-08,Supplier G
2023-07-05,Opex,10942,2678,959366,PO78751,Open,629885,NL02,10100,NL02-08,Supplier A
2023-12-07,Opex,6860,6051,434025,PO56722,Open,650286,NL02,10100,NL02-08,Supplier C
2023-08-19,Opex,12497,9320,998454,PO94804,Open,681973,NL02,10100,NL02-08,Supplier C
2023-11-16,Opex,1753,3469,281503,PO04893,Open,665446,NL02,10100,NL02-08,Supplier G
2023-01-26,Opex,6879,2434,942315,PO72566,Open,672871,NL02,10100,NL02-08,Supplier A
2023-03-04,Opex,8695,5539,605372,PO47108,Open,688956,NL02,10100,NL02-08,Supplier E
2023-04-12,Opex,7403,6513,144292,PO61123,Open,677704,NL02,10100,NL02-08,Supplier B
2023-11-24,Opex,1772,8959,870989,PO56722,Open,663478,NL02,10100,NL02-08,Supplier C
2023-07-10,Opex,1264,7777,253793,PO65967,Open,647801,NL02,10100,NL02-08,Supplier E
2023-04-15,Opex,1266,9330,979801,PO65967,Open,610350,NL02,10100,NL02-08,Supplier E
2023-06-29,Opex,2291,1421,389103,PO73506,Open,673891,NL02,10100,NL02-08,Supplier B
2023-04-07,Opex,11506,5999,656417,PO70751,Open,627999,NL02,10100,NL02-08,Supplier F
2023-09-18,Opex,17142,5024,086729,PO20161,Open,614715,NL02,10100,NL02-08,Supplier C
2023-07-18,Opex,12537,4864,917591,PO72267,Open,630461,NL02,10100,NL02-08,Supplier A
2023-08-06,Opex,14588,8917,292291,PO72267,Open,639222,NL02,10100,NL02-08,Supplier A
2023-04-02,Opex,16638,1624,435674,PO70281,Open,642814,NL02,10100,NL02-08,Supplier B
2023-11-08,Opex,13054,9846,795035,PO93961,Open,655177,NL02,10100,NL02-08,Supplier B
2023-11-02,Opex,3840,7295,691216,PO70741,Open,646375,NL02,10100,NL02-08,Supplier B
2023-08-03,Opex,16639,0306,665315,PO08654,Open,675039,NL02,10100,NL02-08,Supplier E
2023-07-30,Opex,3334,4794,287890,PO99769,Open,634808,NL02,10100,NL02-08,Supplier D
2023-01-15,Opex,6413,5393,160298,PO58584,Open,689352,NL02,10100,NL02-08,Supplier A
2023-01-29,Opex,3363,8497,811032,PO64093,Open,668211,NL02,10100,NL02-08,Supplier E
2023-12-26,Opex,12581,2993,012830,PO88214,Open,660171,NL02,10100,NL02-08,Supplier F
2023-04-18,Opex,3368,1422,158361,PO55985,Open,637069,NL02,10100,NL02-08,Supplier G
2023-09-22,Opex,6450,0890,116043,PO84424,Open,637892,NL02,10100,NL02-08,Supplier A
2023-08-24,Opex,1857,8060,851962,PO56147,Open,634000,NL02,10100,NL02-08,Supplier B
2023-08-01,Opex,15174,4317,377007,PO27112,Open,688365,NL02,10100,NL02-08,Supplier D
2023-06-16,Opex,4425,0946,542275,PO25035,Open,655600,NL02,10100,NL02-08,Supplier C
2023-09-20,Opex,14153,5001,377246,PO43000,Open,673615,NL02,10100,NL02-08,Supplier C
2023-05-27,Opex,11600,8329,372040,PO66452,Open,613136,NL02,10100,NL02-08,Supplier D
2023-06-20,Opex,2387,9324,142049,PO08654,Open,619730,NL02,10100,NL02-08,Supplier E
2023-02-21,Opex,10072,4981,798659,PO61123,Open,662648,NL02,10100,NL02-08,Supplier B
2023-12-02,Opex,4455,7742,311013,PO47108,Open,606677,NL02,10100,NL02-08,Supplier E
2023-03-06,Opex,14187,8466,653785,PO74076,Open,632832,NL02,10100,NL02-08,Supplier C
2023-12-02,Opex,7026,2693,163189,PO27112,Open,636871,NL02,10100,NL02-08,Supplier D
2023-01-18,Opex,7539,6263,384811,PO14611,Open,617952,NL02,10100,NL02-08,Supplier C
2023-08-22,Opex,1397,4545,946727,PO52690,Open,637185,NL02,10100,NL02-08,Supplier D
2023-01-28,Opex,6517,4376,550830,PO98820,Open,663511,NL02,10100,NL02-08,Supplier C
2023-06-30,Opex,2937,0362,766886,PO90759,Open,684272,NL02,10100,NL02-08,Supplier E
2023-06-21,Opex,2436,9650,422659,PO20161,Open,627228,NL02,10100,NL02-08,Supplier C
2023-12-26,Opex,14724,6674,176471,PO20161,Open,614446,NL02,10100,NL02-08,Supplier C
2023-09-26,Opex,16774,8911,490454,PO47209,Open,603513,NL02,10100,NL02-08,Supplier B
2023-01-01,Opex,15756,5412,325081,PO74076,Open,679390,NL02,10100,NL02-08,Supplier C
2023-02-08,Opex,12685,2882,984711,PO93071,Open,650747,NL02,10100,NL02-08,Supplier F
2023-05-05,Opex,5028,8649,128666,PO99769,Open,681895,NL02,10100,NL02-08,Supplier D
2023-07-28,Opex,7594,8956,466705,PO99769,Open,611958,NL02,10100,NL02-08,Supplier D
2023-07-01,Opex,16810,5206,226512,PO53721,Open,681814,NL02,10100,NL02-08,Supplier E
2023-09-25,Opex,11692,7149,715817,PO29440,Open,605590,NL02,10100,NL02-08,Supplier F
2023-06-15,Opex,11705,9583,407600,PO84424,Open,644742,NL02,10100,NL02-08,Supplier A
2023-04-28,Opex,7616,7809,899422,PO58584,Open,695149,NL02,10100,NL02-08,Supplier A
2023-01-13,Opex,7619,6583,706213,PO39619,Open,628115,NL02,10100,NL02-08,Supplier F
2023-04-23,Opex,8644,0410,115767,PO93961,Open,606816,NL02,10100,NL02-08,Supplier B
2023-04-16,Opex,3013,9053,082653,PO55985,Open,668451,NL02,10100,NL02-08,Supplier G
2023-04-08,Opex,9163,5446,762497,PO56147,Open,641074,NL02,10100,NL02-08,Supplier B
2023-09-02,Opex,17358,6241,266069,PO65967,Open,636414,NL02,10100,NL02-08,Supplier E
2023-08-12,Opex,1488,5120,468299,PO39619,Open,666889,NL02,10100,NL02-08,Supplier F
2023-03-16,Opex,3026,3109,436834,PO81724,Open,611101,NL02,10100,NL02-08,Supplier F
2023-01-01,Opex,17366,0642,853535,PO27112,Open,675308,NL02,10100,NL02-08,Supplier D
2023-02-09,Opex,3543,3389,230378,PO84327,Open,699755,NL02,10100,NL02-08,Supplier G
2023-07-09,Opex,13272,6959,331915,PO11631,Open,628077,NL02,10100,NL02-08,Supplier A
2023-10-21,Opex,6617,4450,033032,PO56986,Open,686087,NL02,10100,NL02-08,Supplier A
2023-03-05,Opex,2522,5693,538096,PO25035,Open,672596,NL02,10100,NL02-08,Supplier C
2023-09-08,Opex,15839,2360,406439,PO02042,Open,642372,NL02,10100,NL02-08,Supplier G
2023-01-30,Opex,17892,6381,521927,PO93071,Open,660345,NL02,10100,NL02-08,Supplier F
2023-05-28,Opex,15334,3569,719306,PO12063,Open,691165,NL02,10100,NL02-08,Supplier A
2023-12-11,Opex,4599,1473,930522,PO43000,Open,686368,NL02,10100,NL02-08,Supplier C
2023-12-16,Opex,1017,2584,457250,PO83108,Open,684882,NL02,10100,NL02-08,Supplier E
2023-09-21,Opex,2044,1133,908718,PO19630,Open,678638,NL02,10100,NL02-08,Supplier D
